time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/clip_range,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/approx_kl,train/clip_fraction
489,4,1,2048,,,,,,,,,,,,
74,54,2,4096,38122.39146118164,17293.2109375,-0.03656954731268343,2.8431415557861328e-05,0.0003,-1.3669995952397584,0.2,2987.0,10,-30212.0,0.019802503,0.39052734375
58,104,3,6144,41807.27053833008,15288.01953125,-0.040958369133295494,-0.0009918212890625,0.0003,-1.3661664579063655,0.2,2987.0,20,-30212.0,0.019938711,0.40078125
53,153,4,8192,27135.913327026366,8063.35595703125,-0.0355411873315461,0.015785157680511475,0.0003,-1.3663878567516803,0.2,2719.0,30,-26017.0,0.019026035,0.33134765625
51,198,5,10240,16179.820974731445,8432.1064453125,-0.027817405719542877,0.05647355318069458,0.0003,-1.3685731831938028,0.2,2553.75,40,-24952.5,0.016774785,0.28154296875
49,248,6,12288,24767.35336303711,9399.1611328125,-0.03702448786643799,0.1169399619102478,0.0003,-1.367680014669895,0.2,2553.75,50,-24952.5,0.020411817,0.3529296875
48,297,7,14336,24536.848025512696,8364.845703125,-0.04127059516613372,0.16803759336471558,0.0003,-1.3658669158816337,0.2,2553.75,60,-24952.5,0.019407738,0.428857421875
47,348,8,16384,18882.594625854494,8385.419921875,-0.04041200888459571,0.0454106330871582,0.0003,-1.3666842393577099,0.2,2553.75,70,-24952.5,0.019904485,0.41083984375
46,392,9,18432,17860.399798583985,8273.84375,-0.0354698483744869,0.16719543933868408,0.0003,-1.3678574364632368,0.2,2553.75,80,-24952.5,0.017674223,0.34873046875
47,435,10,20480,20318.609490966795,10449.609375,-0.03577550113550387,0.1259891390800476,0.0003,-1.3663699992001057,0.2,2553.75,90,-24952.5,0.018097397,0.384521484375
46,479,11,22528,17876.96550292969,9363.775390625,-0.03784140956995543,0.1301092505455017,0.0003,-1.3670459255576133,0.2,4494.6,100,-47242.8,0.017849822,0.3671875
46,529,12,24576,21406.26870727539,9943.37109375,-0.03514283708063885,0.17042064666748047,0.0003,-1.3670634262263774,0.2,4494.6,110,-47242.8,0.017745787,0.377001953125
46,578,13,26624,14460.343684387208,6216.27001953125,-0.04065347522264347,0.11210697889328003,0.0003,-1.3669965576380492,0.2,4494.6,120,-47242.8,0.01970463,0.39912109375
45,627,14,28672,20997.515591430663,7948.4482421875,-0.04279730469570495,0.16858363151550293,0.0003,-1.3660585448145866,0.2,4494.6,130,-47242.8,0.019768622,0.431103515625
45,673,15,30720,14309.862664794922,6892.662109375,-0.04048722797888331,0.055809080600738525,0.0003,-1.3667234923690557,0.2,4494.6,140,-47242.8,0.017674476,0.39921875
45,724,16,32768,12259.146563720704,4825.3095703125,-0.04408605111821089,0.0935094952583313,0.0003,-1.3660410087555648,0.2,4494.6,150,-47242.8,0.018674312,0.45791015625
45,768,17,34816,15190.23137664795,6446.4091796875,-0.046433767583221194,0.09048008918762207,0.0003,-1.3655087128281593,0.2,4494.6,160,-47242.8,0.019992035,0.483154296875
45,818,18,36864,18215.971072387696,8498.818359375,-0.039605427355854775,0.12704426050186157,0.0003,-1.3674782756716013,0.2,4494.6,170,-47242.8,0.020030525,0.3787109375
44,866,19,38912,14334.795623779297,6760.61328125,-0.04059241521754302,0.10006523132324219,0.0003,-1.3669100858271122,0.2,4494.6,180,-47242.8,0.019027762,0.404296875
44,923,20,40960,16606.91463165283,11655.7626953125,-0.04465127111179754,0.10398292541503906,0.0003,-1.3663556259125471,0.2,4494.6,190,-47242.8,0.020288639,0.440234375
